,Person
0,"জয়া বচ্চন
"
1,"রবি ঘোষ
"
2,"মুস্তাক আহমেদ
"
3,"জয়া বচ্চন
"
4,"আব্বাসউদ্দিন
"
5,"সুভাষ চন্দ্র বোস
"
6,"মুথইয়া মুরলীধরন
"
7,"আরডব্লু এন্ডারসন
"
8,"বিপাশা বসু
"
9,"পুলক বন্দ্যোপাধ্যায়
"
10,"প্রদীপ কুমার ব্যানার্জী
"
11,"পণ্ডিত শিব কুমার শর্মা
"
12,"রমীজ রাজা
"
13,"অতুলপ্রসাদ সেন
"
14,"তপন সাহা
"
15,"রিকী পন্টিঙ্গ
"
16,"সুনীল গাওস্কর
"
17,"অজয় দেবগন
"
18,"হরপ্রসাদ শাস্ত্রী
"
19,"অজয় জাডেজা
"
20,"রণবীর কাপুর
"
21,"সোনু নিগম
"
22,"ইন্দ্র কুমার গুজরাল
"
23,"সূর্য বাহাদুর থাপা
"
24,"কপিল দেব
"
25,"ঋতুপর্ণ ঘোষ
"
26,"সাহিবজাদা ফারুকআলী
"
27,"অমরেশ পুরী
"
28,"প্রীতিশ নন্দী
"
29,"অর্জুন সিং
"
30,"রাজেশ খান্না
"
31,"আবদুল গফ্ফর চৌধুরী
"
32,"লালা অমরনাথ
"
33,"জ্যাকি চেন
"
34,"রণধীর কাপুর
"
35,"কঙ্গনা রাউত
"
36,"সয়াদত আলী মন্টা
"
37,"বিধান চন্দ্র রায়
"
38,"সূর্য বাহাদুর থাপা
"
39,"হাসান রাজা
"
40,"মোহম্মদ আজহারুদ্দীন
"
41,"ফারহান আখতার
"
42,"নওয়াজ শরীফ
"
43,"ঋষি কাপুর
"
44,"ইমরান খান
"
45,"পণ্ডিত শিব কুমার শর্মা
"
46,"ববি দেওল
"
47,"সুরজিত্ সিংহ বরনালা
"
48,"মল্লিকা শেরাবত
"
49,"গৌতম চট্টোপাধ্যায়
"
50,"বিধু বিনোদ চোপড়া
"
51,"শিবরাম চক্রোবর্তী
"
52,"দেবেশ রায়
"
53,"লালু প্রসাদ যাদব
"
54,"শক্তি চট্টোপাধ্যায়
"
55,"হিমেশ রেশমিয়া
"
56,"উত্তম কুমার
"
57,"লাবণি সরকার
"
58,"শক্তি চট্টোপাধ্যায়
"
59,"নচিকেতা ঘোষ
"
60,"ইষা গুহ
"
61,"প্রেম চোপড়া
"
62,"উপেন্দ্রকিশোর রায়
"
63,"শঙ্কর দয়াল শর্মা
"
64,"সুনীল গঙ্গোপাধ্যায়
"
65,"সোনিয়া গান্ধী
"
66,"গোষ্ঠ পাল
"
67,"আমির সুহেল খান
"
68,"অনুপম খের
"
69,"এলেন ডোনাল্ড
"
70,"জ্যাকি শ্রফ
"
71,"হাসান রাজা
"
72,"ঐশ্বর্য রায়
"
73,"এমএফহুসেন
"
74,"মান্না দে
"
75,"কপিল দেব
"
76,"নিলম সঞ্জীবা রেড্ডি
"
77,"জন্তী মোহন চন্দ্র বালযোগী
"
78,"ঋত্বিক ঘটক
"
79,"কঙ্কোণা সেন শর্মা
"
80,"রোনাল্ড রীগন
"
81,"আব্দুল করিম তেলগী
"
82,"সুনীল গঙ্গোপাধ্যায়
"
