,Person
0,"ઇન્ઝામામ-ઉલ-હક
"
1,"વકાર યૂનુસ
"
2,"ગાયત્રી જોશી
"
3,"ઝિયા-ઉલ-હક
"
4,"શીતલ શેઠ
"
5,"રાજેન્દ્ર ગઢવી
"
6,"કૃષ્ણ પ્રસાદ ભટ્ટરાય
"
7,"આન્દ્રે અગાસી
"
8,"સરિતા જોશી
"
9,"મોહસિન ખાન
"
10,"ચક્રવર્તી રાજગોપાલાચારી
"
11,"હિમેશ રેશમિયા
"
12,"સંજય દત્ત
"
13,"રવિ શાસ્ત્રી
"
14,"સોનુ નિગમ
"
15,"ગિરિજા પ્રસાદ કોઇરાલા
"
16,"કૃતિકા દેસાઈ
"
17,"નિલિમા શેખ
"
18,"આકાશ ગુજરાતી
"
19,"જ્યોતિ ભટ્ટ
"
20,"વિધુ વિનોદ ચોપરા
"
21,"સુનીલ દત્ત
"
22,"કોંકણા સેન-શર્મા
"
23,"દિવ્યાંક ત્રિપાઠી
"
24,"કૃષ્ણ પ્રસાદ ભટ્ટરાય
"
25,"સિંપલ કાપડિયા
"
26,"મોહમ્મદ અઝહરુદ્દીન
"
27,"પરેશ ગણાત્રા
"
28,"પુરુશોત્તમ દાસ ટંડન
"
29,"જયંતિ પટેલ
"
30,"પૂનમ જોશી
"
31,"આર. ડબલ્યૂ. એંડરસન
"
32,"મોહસિન ખાન
"
33,"જૉર્જ બુશ
"
34,"ફારૂક એન્જિનિયર
"
35,"કોંકણા સેન-શર્મા
"
36,"સર્વેશ્વર દયાલ સક્સેના
"
37,"નિહારી જોશી
"
38,"લાલૂ પ્રસાદ યાદવ
"
39,"મોહમ્મદ અલી જિન્નાહ
"
40,"દુર્ગેશ શુકલા
"
41,"ચન્દ્રશેખર
"
42,"રાજેન્દ્ર પ્રસદ
"
43,"મેઘનાદ દેસાઈ
"
44,"જગદીશ ભગવતી
"
45,"ભૂપેન ખખ્ખર
"
46,"વિવિયન રિચર્ડ્સ
"
47,"ફખરુદ્દિન અલી અહેમદ
"
48,"કમલેશ ઓઝા
"
49,"જશવંત ઠાકર
"
50,"ઉપેન પટેલ
"
51,"બલીરામ ભગત
"
52,"સરફરાઝ નવાઝ
"
53,"ખ્વાઝા મોઈનુદ્દિન ચિસ્તિ
"
54,"ઇન્ઝામામ-ઉલ-હક
"
55,"કોટા શ્રીનિવાસ રાવ કોઉન્ડમણી
"
56,"એમ.એફ. હુસેન
"
57,"મનુ પારેખ
"
58,"અઝિમ પ્રેમજી
"
59,"શેખર કપૂર
"
60,"હસમુખ બારાડી
"
61,"નિકિતા શાહ
"
62,"શ્રુતિ શેઠ
"
63,"અલ્લૂ રામલિંગૈયા
"
64,"વિધુ વિનોદ ચોપરા
"
65,"પિયા ત્રિવેદી
"
66,"રણધીર કપૂર
"
67,"ઝુબેદા
"
68,"ગેરી કર્સ્ટન
"
69,"ટીના પારેખ
"
70,"શરદ બાબૂ
"
71,"દેવ આનંદ
"
72,"જે. ડી. મજેઠિયા
"
73,"રમણલાલ મહેતા
"
74,"વિક્રમ સારાભાઈ
"
75,"પરમસુખ પંડ્યા
"
76,"સીતારામ યેચુરી
"
77,"સુનીલ દત્ત
"
78,"હોમી વાડિયા
"
79,"ફારૂખ શેખ
"
80,"બ્રાયન લારા
"
81,"ઇયાન ચેપલ
"
82,"જૅકી ચેન
"
83,"નિખિલ ચોપરા
"
84,"રમેશ રાઘવ
"
85,"આશા પારેખ
"
86,"અખો
"
87,"જૉર્જ ફર્નાંડિસ
"
88,"પૂનમ જોશી
"
89,"ગિરિજા પ્રસાદ કોઇરાલા
"
90,"નીલેશ નાડકર્ણી
"
91,"ચન્દ્રુ પૉલ
"
92,"પરીતા પારેખ
"
93,"દેવ આનંદ
"
94,"જ્યોતિ ભટ્ટ
"
95,"અખો
"
96,"રાની મુખર્જી
"
97,"રાની મુખર્જી
"
98,"બ્રિજેશ પટેલ
"
99,"ઈશુ પટેલ
"
100,"રમેશ રાઘવ
"
101,"રણજીતરામ મહેતા
"
102,"ચાર્લી ચેપ્લિન
"
103,"અમર ઉપાધ્યાય
"
104,"કરસનભાઈ પટેલ
"
105,"અંશુમન ગાયકવાડ
"
106,"મોરારજી દેસાઈ
"
107,"રિચર્ડ હેડલી
"
108,"અખો
"
109,"ફિરોઝ ભગત
"
110,"પ્રાણજીવન પાઠક
"
111,"રોહન ગાવસ્કર
"
112,"કમલ હસન
"
113,"સ્વામી દયાનંદ
"
114,"રોહન ગાવસ્કર
"
115,"જવાહરલાલ નેહરુ
"
116,"બલ્વિન્દર સંધૂ
"
117,"મોરારજી દેસાઈ
"
118,"જયા બચ્ચન
"
119,"લાલ કૃષ્ણ અડવાણી
"
120,"અંબાલાલ સારાભાઈ
"
121,"જિમી મિસ્ત્રી
"
122,"પાયલ રહતોગિ
"
123,"નગેશ્વર નારાયણ રાવ
"
124,"ઝિયા-ઉલ-હક
"
125,"બાલિ બ્રહ્મભટ્ટ
"
126,"સ્વામી દયાનંદ
"
127,"હરિ પુંજા
"
