,Place
0,"वड़ोदरा
"
1,"अम्बाला
"
2,"हाफ़लांग
"
3,"खगड़िया
"
4,"सोपोर
"
5,"हल्दिया
"
6,"बीकानेर
"
7,"सिलीगुड़ी
"
8,"चित्रकूट
"
9,"पंढरपुर
"
10,"रायचूर
"
11,"इंदौर
"
12,"फैसलाबाद
"
13,"औरंगाबाद
"
14,"मेरठ
"
15,"बलरामपुर
"
16,"रायबरेली
"
17,"सोमनाथ
"
18,"पलामू
"
19,"मधेपुरा
"
20,"तुमकुर
"
21,"रामगढ
"
22,"पिथौरागढ
"
23,"पॉन्डिचेरी
"
24,"उन्नाव
"
25,"जमशेदपुर
"
26,"मुजफ्फरनगर
"
27,"बेगूसराय
"
28,"अबोहर
"
29,"मोकोकचुआंग
"
30,"खगड़िया
"
31,"नोएडा
"
32,"रत्नागीरी
"
33,"बाराबंकी
"
34,"फ़िरोज़पुर
"
35,"वृन्दावन
"
36,"भागलपुर
"
37,"हापुड़
"
38,"चिपलून
"
39,"जैसलमेर
"
40,"वृन्दावन
"
41,"बड़ौदा
"
42,"कालीकट
"
43,"रोसड़ा
"
44,"सिमडेगा
"
45,"गिरीडीह
"
46,"मुंबई
"
47,"नागपुर
"
48,"चंपारण
"
49,"अंकलेश्वर
"
50,"अहमदाबाद
"
51,"बाँदा
"
52,"विजयवाड़ा
"
53,"गोपालपुर
"
54,"दुर्गापुर
"
55,"आनंद
"
56,"वेल्लूर
"
57,"जोधपुर
"
58,"दुर्गापुर
"
59,"बीदर
"
60,"आज़मगढ़
"
61,"ऊटी
"
62,"चोपन
"
63,"नई दिल्ली
"
64,"ऊटी
"
65,"पावापुरी
"
66,"कोलकता
"
67,"अजमेर
"
68,"नैनीताल
"
69,"श्रीकाकुलम
"
70,"झुंझुनू
"
71,"मथुरा
"
72,"सिलचर
"
73,"नौगाँव
"
74,"बाँकुड़ा
"
75,"गुमला
"
76,"जमशेदपुर
"
77,"सुपौल
"
78,"हाजीपुर
"
79,"ठाणे
"
80,"आगरा
"
81,"बस्ती
"
82,"जयपुर
"
83,"विशाखापत्तनम
"
84,"धर्मशाला
"
85,"सन्त रविदास नगर
"
86,"रोपड़
"
