,Person
0,"ദേവിക
"
1,"അന്നപൂര്‍ണ്ണ
"
2,"സിഎച്ച്മുഹമ്മദ്കോയ
"
3,"കൃഷ്ണന്‍കുട്ടി
"
4,"ആര്‍ശങ്കരന്‍
"
5,"ബാലചന്ദ്രന്‍ചുള്ളിക്കാട്
"
6,"കമലം
"
7,"നയന
"
8,"കര്‍ണ്ണന്‍
"
9,"കാര്‍ത്തിക
"
10,"വല്‍സമ്മ
"
11,"അജ്ഞലി
"
12,"കമലേഷ്
"
13,"പികെവാസുദേവന്‍നായര്‍
"
14,"ഒമാധവന്‍
"
15,"ടിപിസെന്‍കുമാര്‍
"
16,"തോമസ്
"
17,"എംടിവത്സമ്മ
"
18,"കെഎസ്നാരായണപണിക്കര്‍
"
19,"സുജാത
"
20,"മിനി
"
21,"മുരളീധരന്‍
"
22,"സന്ദീപ്
"
23,"അജിത
"
24,"ബാലകൃഷ്ണപിളള
"
25,"കലാരഞ്ജിനി
"
26,"അജ്ഞലി
"
27,"പിസിഅലക്സാണ്ടര്‍
"
28,"സ്വാതിതിരുന്നാള്‍
"
29,"എംടിവത്സമ്മ
"
30,"മേരിജോണ്‍തോട്ടം
"
31,"ജയറാംപടിക്കല്‍
"
32,"കനകരാജന്‍
"
33,"നന്ദന
"
34,"പാലൊളിമുഹമ്മദ്കുട്ടി
"
35,"ആനന്ദ്
"
36,"എംജിരാമചന്ദ്രന്‍
"
37,"ജോണ്‍സണ്‍
"
38,"സുമയ്യ
"
39,"ശ്രീകല
"
40,"നിമ്മി
"
41,"വയലാര്‍ശരത്ചന്ദ്രവര്‍മ്മ
"
42,"പിലീല
"
43,"മോഹന്‍ലാല്‍
"
44,"ഉമ്മന്‍ചാണ്ടി
"
45,"എന്‍എന്‍കൃഷ്ണദാസ്
"
46,"മുഹമ്മദ്അബ്ദുള്‍റഹുമാന്‍ സാഹിബ്
"
47,"ദീപു
"
48,"അലക്സ്
"
49,"അപര്‍ണ്ണ
"
50,"മാളു
"
51,"ധന്യ
"
52,"അയിഷ
"
53,"കലാമണ്ഡലംഹൈദരാലി
"
54,"അരവിന്ദാക്ഷന്‍
"
55,"ശങ്കരപ്പിള്ള
"
56,"കണ്ണന്‍
"
57,"കലാമണ്ഡലംഹൈദരാലി
"
58,"വെളളായണിഅര്‍ജ്ജുനന്‍
"
59,"മുല്ലൂര്‍പത്മനാഭപണിക്കര്‍
"
60,"ബിനൂഷ
"
61,"സുനീതി
"
62,"മൊയ്തീന്‍കുട്ടിവൈദ്യര്‍
"
63,"പ്രീത
"
64,"താര
"
65,"സുഗതകുമാരി
"
66,"കുട്ടപ്പന്‍
"
67,"ശിവപ്രിയ
"
68,"പത്മകുമാര്‍
"
69,"കനക
"
70,"മാളു
"
71,"വിഗോപാലമേനോന്‍
"
72,"സരള
"
73,"കുമാരനാശാന്‍
"
74,"സുവര്‍ണ്ണ
"
75,"സിഎച്ച്കണാരന്‍
"
76,"സുശീലാഗോപാലന്‍
"
77,"വിഷ്ണു
"
78,"സൂസണ്‍
"
79,"കല്യാണി
"
