,Person
0,"दिनेश माहुलकर
"
1,"मलाइका अरोड़ा
"
2,"मनोज कुमार
"
3,"बसप्पा डनप्पा जत्ती
"
4,"सदानंद मोरे
"
5,"प्रज्ञा लोखंडे
"
6,"सुनिल मेहता
"
7,"चरण सिंह
"
8,"कृष्ण प्रसाद भट्टराइ
"
9,"राजू शेट्टी
"
10,"चंद्रमोहन कुलकर्णी
"
11,"राजा दिक्षित
"
12,"पट्टाभी सितारमैय्या
"
13,"जनार्दन वाघमारे
"
14,"मात्रिका प्रसाद कोइराला
"
15,"बलराम जाखड़
"
16,"वेंकटेश प्रसाद
"
17,"कुमार केतकर
"
18,"शिवराज पाटील
"
19,"रणवीर कपूर
"
20,"अनिल अवचट
"
21,"मुथइया मुरलीधरन
"
22,"सुधीर पानसे
"
23,"उदय नारकर
"
24,"राम बापट
"
25,"अभय माणकापूरे
"
26,"भालचंद्र नेमाडे
"
27,"विवियन रिचर्ड्स
"
28,"अश्विन कर्णिक
"
29,"केशव दामले
"
30,"कंगना रानाउत
"
31,"शाहिद अफ़रीदी
"
32,"विधु विनोद चोपड़ा
"
33,"पतंगराव कदम
"
34,"बलराम जाखड़
"
35,"जनार्दन वाघमारे
"
36,"अजय  जडेजा
"
37,"मनिंदर सिंह
"
38,"कबीर बेदी
"
39,"राजा ढाले
"
40,"गंगाधर पाटील
"
41,"निशिकांत मिरजकर
"
42,"अमिताभ बच्चन
"
43,"ए.एल. कालीचरण
"
44,"इंज़माम-उल- हक
"
45,"जतीन वागळे
"
46,"विठ्ठल वाघ
"
47,"इंद्रजित भालेराव
"
48,"अशोक चव्हाण
"
49,"नरेन्द्र हिरवानी
"
50,"लाल बहादूर शास्त्री
"
51,"इंद्रजित भालेराव
"
52,"रमीज़ राजा
"
53,"छगन भुजबळ
"
54,"बेन किंग्सले
"
55,"अशोक कुमार मल्होत्रा
"
56,"मोहम्मद वसीम हिदायतुल्लाह
"
57,"ज़िया उल-हक
"
58,"सदानंद देशमुख
"
59,"शत्रुघ्न सिन्हा
"
60,"के.श्रीकांत
"
61,"हेमंत जोगळेकर
"
62,"विश्वनाथ प्रताप सिंह
"
63,"आसिफ़ मसूद करीम
"
