,Place
0,"गिरीडीह
"
1,"वर्धा
"
2,"तुळजापूर
"
3,"रायरंगपूर
"
4,"उडुपी
"
5,"पटना
"
6,"खम्मम
"
7,"फलटन
"
8,"र्शिडी
"
9,"अक्कलकोट
"
10,"गणेशवाडी
"
11,"मंगळवेढा
"
12,"बिहार शरीफ़
"
13,"आदिलाबाद
"
14,"लातूर
"
15,"गानगापूर
"
16,"राजगढ
"
17,"दुर्ग
"
18,"भीलवाड़ा
"
19,"चतरा
"
20,"हम्पी
"
21,"खेड
"
22,"ज्योतीबा
"
23,"चंद्रपूर
"
24,"इंदापूर
"
25,"राजगढ
"
26,"कात्रज
"
27,"चोपन
"
28,"इटारसी
"
29,"प्रकाशम
"
30,"कवरत्ती
"
31,"उदगीर
"
32,"सेनापती
"
33,"वारंगल
"
34,"जळगाव
"
35,"मुंबई
"
36,"रंगारेड्डी
"
37,"साजणी
"
38,"श्रीरामपूर
"
39,"वेल्लूर
"
40,"पणजी
"
41,"झरिया
"
42,"लेह
"
43,"राहुरी
"
44,"राजौरी
"
45,"विजयवाड़ा
"
46,"गडहिंग्लज
"
47,"मवाना
"
48,"मेरठ
"
49,"दीमापूर
"
50,"मिर्जापूर
"
51,"तुरा
"
52,"हैद्राबाद
"
53,"आदिलाबाद
"
54,"नेसरी
"
55,"साजणी
"
56,"अक्कलकोट
"
57,"नरवर
"
58,"कम्पिल
"
59,"उमळवाड
"
60,"गोरखपूर
"
61,"गाजीपूर
"
62,"गोड्डा
"
63,"लुधियाना
"
64,"ज्योतीबा
"
65,"ज्योतीबा
"
66,"नरकटियागंज
"
67,"हाजीपूर
"
68,"भद्रक
"
69,"अंबेगाव
"
70,"भिवंडी
"
71,"त्रिवेन्द्रम
"
72,"जैरुसलेम
"
73,"पेण
"
74,"लातूर
"
75,"हाजीपूर
"
76,"वाशी
"
77,"गोंदिया
"
78,"त्रिचुर
"
79,"लेह
"
80,"हलकर्णी
"
81,"लखनौ
"
82,"दरभंगा
"
83,"अकबरपूर
"
84,"गोआलपाड़ा
"
85,"बस्ती
"
86,"तासगाव
"
87,"पैठण
"
88,"लाड़नू
"
89,"दुमका
"
90,"गुवाहाटी
"
91,"इस्लामपूर
"
92,"अबोहर
"
93,"नैनीताल
"
94,"लखीमपूर
"
95,"होशियारपूर
"
96,"सिमडेगा
"
97,"वर्धा
"
98,"संगमनेर
"
99,"आटपाडी
"
100,"चोपन
"
101,"कम्पिल
"
102,"शिलांग
"
103,"इरोड
"
104,"जोवाई
"
105,"शाहापूर
"
106,"वदोदरा
"
107,"वास्को द गामा
"
108,"गोरखपूर
"
109,"कालीकत
"
110,"चंद्रपूर
"
111,"नलगोंडा
"
112,"हनुमानगड
"
113,"रत्नागीरी
"
114,"शिमोगा
"
115,"चिकमंगळूर
"
116,"उमरगा
"
117,"हमीरपूर
"
118,"मोहोळ
"
119,"लोणार
"
120,"नौगांव
"
121,"रतलाम
"
122,"होशंगाबाद
"
123,"रामग़ड
"
124,"त्रिवेन्द्रम
"
125,"लखनौ
"
126,"भोगावती
"
127,"वेरावल
"
128,"जैरुसलेम
"
129,"दीमापूर
"
130,"कुचेरा चुनार
"
131,"तासगाव
"
132,"श्रीगोंदा
"
133,"रुद्रप्रयाग
"
134,"अमळनेर
"
135,"खेड
"
136,"नाशिक
"
137,"गोंडा
"
138,"जळगाव
"
139,"दुमका
"
140,"बुलंदशहर
"
141,"परभणी
"
142,"वदोदरा
"
143,"वारंगल
"
144,"कराड
"
145,"कटरा
"
146,"रोपड़
"
147,"सतारा
"
148,"सिंधुदुर्ग
"
149,"हरिद्वार
"
150,"प्रयाग
"
151,"नरकटियागंज
"
152,"बिहार
"
153,"लडाख
"
154,"बालासोर
"
155,"परांडा
"
156,"हरिद्वार
"
157,"हमीरपूर
"
158,"ग्वाल्हेर
"
159,"सिमडेगा
"
160,"चंद्रपूर
"
161,"सन्त रविदास नगर
"
162,"करवीर
"
163,"मदुरै
"
164,"पेण
"
165,"त्रिवेन्द्रम
"
166,"महाबळेश्वर
"
167,"अंबिकापूर
"
168,"शिरूर
"
169,"भद्रक
"
170,"शिंगणापूर
"
171,"होशंगाबाद
"
172,"लुधियाना
"
173,"रोपड़
"
174,"गडचिरोली
"
175,"रायचूर
"
176,"इलाहाबाद
"
177,"शिंगणापूर
"
178,"आटपाडी
"
179,"उदयपूर
"
180,"लडाख
"
181,"श्रीकाकुलम
"
182,"मुजफ्फरपूर
"
183,"इटारसी
"
184,"रतलाम
"
185,"देवरिया
"
186,"बस्ती
"
187,"अंजनगाव
"
188,"यवतमाळ
"
189,"गुंटूर
"
190,"कन्याकुमारी
"
191,"ज्योतीबा
"
192,"कोरबा
"
193,"कटिहार
"
194,"उल्हासनगर
"
195,"तुमकुर
"
196,"आंध्रप्रदेश
"
197,"नरवर
"
198,"रोपड़
"
199,"चाईबासा
"
200,"पटना
"
201,"कोडरमा
"
202,"जबलपूर
"
203,"उदगाव
"
204,"बैतूल
"
205,"सांगोला
"
206,"उदगीर
"
207,"रतलाम
"
208,"उडुपी
"
209,"नैनीताल
"
210,"दिल्ली नई दिल्ली
"
211,"हुपरी
"
212,"सोपोर
"
213,"त्र्यंबकेश्र्वर
"
214,"कोपरगाव
"
215,"पठानकोट
"
216,"लाड़नू
"
217,"डिंडीगुल
"
218,"पलामू
"
219,"हमीरपूर
"
220,"बार्शी
"
221,"मुंबई
"
222,"खेड
"
223,"फैसलाबाद
"
224,"दार्जिलिंग
"
225,"मंडी
"
226,"चिंचवड
"
227,"र्शिडी
"
228,"लाड़नू
"
229,"कटिहार
"
230,"गोआलपाड़ा
"
231,"पूर्णिया
"
232,"तासगाव
"
233,"नजीबाबाद टाटानगर
"
234,"कायमगंज
"
235,"रेनापूर
"
236,"आंगलोंग
"
237,"चंडीगढ
"
238,"यशवंतपूर
"
239,"पैठण
"
240,"उन्नाव
"
241,"गया
"
242,"कलकत्ता
"
243,"त्र्यंबकेश्र्वर
"
244,"राजापूर
"
245,"अनंतनाग
"
246,"चेन्नई
"
247,"उमळवाड
"
248,"वाराणसी/बनारस
"
249,"कोरबा
"
250,"वाशी
"
251,"वेल्लूर
"
252,"ईटानगर
"
253,"बस्ती
"
254,"रतलाम
"
255,"सिलचर
"
256,"कोचीन
"
257,"सिलचर
"
258,"संबलपूर
"
259,"पठानकोट
"
260,"शिरूर
"
261,"कल्याण
"
262,"सांगली
"
263,"चंपावत
"
264,"हजारीबाग
"
265,"रोपड़
"
266,"शेगाव
"
267,"कारवार
"
268,"ताम्ब्रम
"
269,"कूर्ग
"
270,"नैनीताल
"
271,"सीतापूर
"
272,"लडाख
"
273,"नागरकोइल
"
274,"अहमदनगर
"
275,"रतलाम
"
276,"कोईमतूर
"
277,"चिखली
"
278,"वसई
"
279,"विशाखापट्टनम
"
280,"बारामती
"
281,"वेरावल
"
282,"भोगावती
"
283,"जशपूर
"
284,"आसनसोल
"
285,"विशाखापट्टनम
"
286,"अकबरपूर
"
287,"सोलापूर
"
288,"केदारनाथ
"
289,"श्रीकाकुलम
"
290,"मैसूर
"
291,"बारामती
"
292,"इंफाळ
"
293,"गणेशवाडी
"
294,"कोहिमा
"
295,"दीमापूर
"
296,"हिसार
"
297,"नेल्लूर
"
298,"नैनीताल
"
299,"बिहार
"
300,"लुधियाना
"
301,"नेल्लूर
"
302,"रंगारेड्डी
"
303,"झुंझुनू
"
304,"इस्लामपूर
"
305,"भरतपूर
"
306,"जामनगर
"
307,"सिमडेगा
"
308,"जलंधर
"
309,"तिरूनेलवेली
"
310,"कोडरमा
"
311,"तिरूनेलवेली
"
312,"मुंबई
"
313,"कोचीन
"
314,"जत
"
315,"गंगटोक
"
316,"सोपोर
"
317,"मिरज
"
318,"कटरा
"
319,"बेरमो
"
320,"मीरापूर
"
321,"गुड़गाव
"
322,"बेगूसराय
"
323,"सोपोर
"
324,"बैंगलोर
"
325,"शिमला
"
326,"गोरखपूर
"
327,"संगमनेर
"
328,"भीलवाड़ा
"
329,"देवरिया
"
330,"अम्बाला
"
331,"श्रीगोंदा
"
332,"मवाना
"
333,"चाईबासा
"
334,"लखीमपूर-खीरी
"
335,"सांगली
"
336,"महाबळेश्वर
"
337,"चाईबासा
"
338,"पटना
"
339,"गाजीपूर
"
340,"सिलचर
"
341,"तुएनसांग
"
342,"रायचूर
"
343,"रोसड़ा
"
344,"कानपूर
"
345,"गंगानगर
"
346,"देहू
"
347,"नेल्लूर
"
348,"नागरकोइल
"
349,"चाळीसगाव
"
350,"ज्योतीबा
"
351,"डोडा
"
352,"रोपड़
"
353,"डिब्रूगढ
"
354,"करवीर
"
355,"चोपन
"
356,"नेल्लूर
"
357,"उल्हासनगर
"
358,"नंदगाव
"
359,"वड्डी
"
360,"अकलूज
"
361,"नेसरी
"
362,"भुज
"
363,"जयपूर
"
364,"नरकटियागंज
"
365,"पंढरपूर
"
366,"मुजफ्फरपूर
"
367,"सोपोर
"
368,"पूर्णिया
"
369,"पटना
"
370,"जशपूर
"
371,"सावळज
"
372,"खेड
"
373,"पिलानी
"
374,"तुरा
"
375,"श्रीरामपूर
"
376,"चंडीगढ
"
377,"मोकोकचुआंग
"
378,"कम्पिल
"
379,"सीतापूर
"
380,"शिमला
"
381,"फतुहा
"
382,"मधुबनी
"
383,"चेन्नई
"
384,"जशपूर
"
385,"उदगीर
"
386,"चिंचवड
"
387,"देवघर
"
388,"कलिंपोंग
"
389,"जुन्नूर
"
390,"गया
"
391,"बोकारो
"
392,"तुमकुर
"
393,"गुड़गाव
"
394,"अम्बाला
"
395,"हजारीबाग
"
396,"बांसवाड़ा
"
397,"गुड़गाव
"
398,"त्र्यंबकेश्र्वर
"
399,"जैरुसलेम
"
400,"पटना
"
401,"कासेगाव
"
402,"चेन्नई
"
403,"तूतीकोरन
"
404,"गडहिंग्लज
"
405,"सिंधुदुर्ग
"
406,"अनंतपूर
"
407,"राजमुंदरी
"
408,"दिल्ली नई दिल्ली
"
409,"पाटण
"
410,"लोहरदग्गा
"
411,"अजरा
"
412,"मेहसाणा
"
413,"फिरोजाबाद
"
414,"ईटानगर
"
415,"हुपरी
"
416,"धर्मशाला
"
417,"हमीरपूर
"
418,"हाफलांग
"
419,"कोच्ची
"
420,"बेरमो
"
421,"चेन्नई
"
422,"करवीर
"
423,"जम्मू
"
424,"श्रीकाकुलम
"
425,"वेल्लूर
"
426,"बांसवाड़ा
"
427,"गगनबावडा
"
428,"जोधपूर
"
429,"लोहरदग्गा
"
430,"मिर्जापूर
"
431,"हरिद्वार
"
432,"कुर्डूवाडी
"
433,"जामखेड
"
434,"पनवेल
"
435,"पुरुलिया
"
436,"दिल्ली नई दिल्ली
"
437,"जोवाई
"
438,"हासन
"
439,"गडहिंग्लज
"
440,"देवगड
"
441,"जयनगर
"
442,"त्रिची
"
443,"रोपड़
"
444,"कूर्ग
"
445,"गिरीडीह
"
446,"मोकोकचुआंग
"
447,"जयसिंगपूर
"
448,"कात्रज
"
449,"वारंगल
"
450,"गोरखपूर
"
451,"आग्रा
"
452,"गुंटूर
"
453,"अलवर
"
454,"कवरत्ती
"
455,"लोणावळा
"
456,"चंद्रपूर
"
457,"उस्मानाबाद
"
458,"चतरा
"
459,"रायरंगपूर
"
460,"शिमोगा
"
461,"हिसार
"
462,"सुंदरगड
"
463,"अमळनेर
"
464,"टिटलागढ
"
465,"रांची
"
466,"राहुरी
"
467,"फिरोजाबाद
"
468,"बड़ौदा
"
469,"जम्मू
"
470,"हुपरी
"
471,"जम्मू
"
472,"वाई
"
473,"देवगड
"
474,"रायरंगपूर
"
475,"खंडाळा
"
476,"यवतमाळ
"
477,"नंदूरबार
"
478,"अकोला
"
479,"सुपौल
"
480,"औरंगाबाद
"
481,"इंफाळ
"
482,"जोवाई
"
483,"चिखली
"
484,"लखनौ
"
485,"सिलचर
"
486,"बीदर
"
487,"पेण
"
488,"जमशेदपूर
"
489,"फैसलाबाद
"
490,"रतलाम
"
491,"खगड़िया
"
492,"कायमगंज
"
493,"कल्याण
"
494,"बालासोर
"
495,"अयोध्या
"
496,"कोल्हापूर
"
497,"साजणी
"
498,"मधेपुरा
"
499,"अजमेर
"
500,"बोकारो
"
501,"कूर्ग
"
502,"संबलपूर
"
503,"गुरदासपूर
"
