,Person
0,"சந்திரசேகர்.
"
1,"செல்வம்.
"
2,"தீபிகா படுகொனே.
"
3,"மணி.
"
4,"சர்வப்பள்ளி ராதாகிருஷ்ணன்
"
5,"சிதம்பரம்பிள்ளை.
"
6,"அம்ரீஸ் பூரி.
"
7,"டான் பிராட்மேன்.
"
8,"ஆர்வலன்.
"
9,"இன்பா.
"
10,"ஜயன்தி மோகன் சந்திர பாலயோகி.
"
11,"விவியன் ரிச்சர்ட்ஸ்.
"
12,"ஹர்பஜன் சிங்.
"
13,"சவரிமுத்து.
"
14,"வடிவு.
"
15,"யோசெப்பு.
"
16,"செல்வம்.
"
17,"மலர்.
"
18,"தமிழினி.
"
19,"முகில்.
"
20,"மொகமத் அசாருதின்.
"
21,"இம்ரான் ஹாஸ்மி.
"
22,"விகடகவி.
"
23,"இன்பா.
"
24,"இன்பா.
"
25,"கண்ணன்.
"
26,"சிந்து.
"
27,"வசீகரி.
"
28,"அப்துல் கரிம் தெல்கி.
"
29,"ஹமேஷ் ரெஷாமியா.
"
30,"அன்னம்மா.
"
31,"யுஸ்ரா.
"
32,"ஜெவஹர்லால் நேரு.
"
33,"யாழினி
"
34,"அமர்.
"
35,"ரிச்சார்ட் ஹாட்லி.
"
36,"சுதந்திரா.
"
37,"இனிமை.
"
38,"கவிதா.
"
39,"கண் விழி.
"
40,"மகேஷ் பூபதி.
"
41,"ராஜேந்திர பிரசாத்.
"
42,"கங்கனா ராநாட்.
"
43,"பன்காஜ் உதாஸ்.
"
44,"ஆர்வலன்.
"
45,"சூசை.
"
46,"ஹசன் ரஜா.
"
47,"ஆனந்தன்.
"
48,"பூவாத்தி.
"
49,"மணிமொழி.
"
50,"நரேந்திர ஹிர்வானி.
"
51,"முஷ்தாக் ஹக்மத்.
"
52,"செந்தில், செந்தூர்.
"
53,"அமிர்தா.
"
54,"ரன்வீர் கபுர்.
"
55,"டான் பிராட்மேன்.
"
56,"சுந்தரன்.
"
57,"வெங்கட்டபதி ராஜூ.
"
58,"ஜாக்கி ஷ்ரோப்.
"
59,"ஆலன் டோனால்ட்.
"
60,"மகேஷ் பூபதி.
"
61,"பாண்டியன்.
"
62,"மங்கை.
"
63,"யோவான்.
"
64,"சரசு.
"
65,"இந்திரா காந்தி.
"
66,"பட்டாபி சீத்தாராமய்யா.
"
67,"அலி.
"
68,"சுந்தரி.
"
69,"அரசு.
"
70,"செல்வமணி.
"
71,"கணையாழி.
"
72,"மயூரி.
"
73,"மர்வன் அட்டாபட்டு.
"
74,"மணி.
"
75,"அகத்தியன்.
"
76,"சென்னி.
"
77,"ஜாகிர் ஹஸ்னய்ன்.
"
78,"கவி, கவிஞ்சன்.
"
79,"செல்லம்.
"
80,"குமார் கௌரவ்.
"
81,"ஹர்ஸ்சில்லே ஜிப்ஸ்.
"
82,"தேவ்கன்ட் பருவா.
"
83,"பைரன் சிங் சேக்வத்.
"
84,"பன்டிட் சிவ் குமார் சர்மா.
"
85,"காகன் கொடா.
"
86,"நேசன்.
"
87,"பாண்டியன்.
"
88,"அடல் பிகாரி வாஜ்பாய்.
"
89,"செல்லம்.
"
90,"மன்மோகன் சிங்.
"
91,"உலகு.
"
92,"நேசமலர்.
"
93,"சுடலை மாடன்.
"
94,"அமிழ்தினி.
"
95,"ரஜினிகாந்த்.
"
96,"கணையாழி.
"
97,"மாசிலா.
"
98,"நீலேஷ் நட்கர்னி.
"
99,"அஜீத் அகர்கர்.
"
100,"மயூரி.
"
101,"தென்னன்.
"
102,"சித்ரபதி.
"
103,"ரன்வீர் கபுர்.
"
104,"ஹசன் ரஜா.
"
105,"திலீபன்.
"
106,"அக்சய் கான்னா.
"
107,"வி.வி.எஸ். லக்ஷ்மன்.
"
108,"அகஹா மொகமத் யஹய கான் .
"
109,"ஹசன் ரஜா.
"
110,"இந்துமதி.
"
111,"மணிமொழி.
"
112,"ஆலன் டோனால்ட்.
"
113,"மணிமேகலை.
"
114,"ரமீஜ் ராஜா.
"
115,"யாழினி
"
116,"ஓவ்யா, ஓவியா.
"
117,"சமிந்த வாஸ்.
"
118,"பல்ரம் ஜாகர்.
"
119,"கலைச்செல்வன்.
"
120,"ஆர். டபுல்யு. ஆன்டர்சன்.
"
121,"ஆலன் டோனால்ட்.
"
122,"தாமரை.
"
123,"சுதந்திரா.
"
124,"அப்துல்லா.
"
125,"பன்டிட் சிவ் குமார் சர்மா.
"
126,"பல்விந்தர் சந்து.
"
127,"கிருஷ்ன பிரசாத் பட்டரை
"
128,"இருதயராசன்.
"
129,"விது விநோத் சோப்ரா.
"
130,"ராமசுவாமி அய்யர் வெங்கட்ராமன்.
"
131,"கண்ணிகா.
"
132,"சவரிமுத்து.
"
133,"வெங்கய்யா நாய்டு.
"
134,"வாஸிம் அக்ரம்.
"
135,"அனில் கும்பிலே.
"
136,"குமரன்.
"
137,"சுனில் தத்.
"
138,"அபிசேக் பச்சன்.
"
139,"லதா மங்கேஷ்கர்.
"
140,"அன்பழகன்.
"
141,"வான்மதி.
"
142,"அம்ஜாத் கான்.
"
143,"சனத் ஜெயசூரியா.
"
144,"அய்கிதோ புஜியம்மா.
"
145,"இனிமை.
"
146,"சென்னி.
"
147,"தமிழரசன்.
"
148,"சிரிகாந்த்.
"
149,"ஜகீர் அப்பாஸ்.
"
150,"அலோக் நாத்.
"
151,"சந்துரு பால்.
"
152,"ஜாக்கு காலிஸ்.
"
153,"யூசப் யுஹானா.
"
154,"தேவ் ஆனந்த்.
"
155,"பொன்னுமணி.
"
156,"பைரன் சிங் சேக்வத்.
"
157,"கதர் கான்.
"
158,"சர்தார் ஹகும் சிங்.
"
159,"நிலவன்.
"
160,"மருதா.
"
161,"காதர்
"
162,"ஜாக்கி ஷ்ரோப்.
"
163,"அங்கயர்க்கன்னி.
"
164,"தென்னரசு.
"
