,Person
0,"జానకిరామ్
"
1,"కృష్ణప్రసాద్
"
2,"అంజన
"
3,"చైతన్య
"
4,"ధర్మరాజు
"
5,"కుటుంబరావు
"
6,"కుమారి
"
7,"కమలాకరరావు
"
8,"కమలాకరరావు
"
9,"తిరుమలరావు
"
10,"కుటుంబరావు
"
11,"ఉషాదేవి
"
12,"అంకమ్మరావు
"
13,"జామకిరామయ్య
"
14,"కుటుంబరావు
"
15,"జానకి
"
16,"కామాక్షి
"
17,"కేశవరావు
"
18,"దైవసహాయం
"
19,"గాయత్రి
"
20,"అరుంధతి
"
21,"జయంతి రావు
"
22,"కమలాకరరావు
"
23,"దివ్యభాను
"
24,"దేవి
"
25,"జయంతి రావు
"
26,"గీతాంజలి
"
27,"ఉమాభారతి
"
28,"ధర్మరాజు
"
29,"ఉషాదేవి
"
30,"దుర్గాప్రసాద్
"
31,"దయానంద్
"
32,"ఇందిర
"
33,"దివాకరరావు
"
34,"దుర్గారావు
"
35,"దైవసహాయం
"
36,"ధర్మరాజు
"
37,"ఉమాకాంత్
"
38,"గిరిధర్
"
39,"దుర్గాభవాని
"
40,"కృష్ణవేణి
"
41,"జామకిరామయ్య
"
42,"ఉమ
"
43,"శ్రీదేవి
"
44,"గంగోత్రి
"
45,"దాక్షాయిని
"
46,"ఇందు
"
47,"తాతారావు
"
48,"తిరుమలరావు
"
49,"చిత్ర
"
50,"ఉమాశంకర్
"
51,"గాయత్రి
"
52,"శ్రీనివాస్
"
53,"గీతాంజలి
"
54,"దివ్యభాను
"
55,"తిరుపతి
"
56,"చిత్ర
"
57,"కృష్ణారావు
"
58,"ధనంజయ్
"
59,"ఉమాదేవి
"
60,"జయంతి రావు
"
61,"చక్రవర్తి
"
62,"శ్రీనివాస్
"
63,"కోటేశ్వరరావు
"
64,"ఇందు
"
65,"దేవదాసు
"
66,"దమయంతి
"
67,"కృష్ణవేణి
"
68,"చూష్మ
"
69,"చిత్ర
"
70,"కృష్ణారావు
"
71,"తిరుమలరావు
"
72,"ఆంజనేయులు
"
73,"దేవీప్రసాద్
"
74,"జామకిరామయ్య
"
75,"కిష్టప్ప
"
76,"తిరుమలరావు
"
77,"అశోక
"
78,"అమరేశ్వరరావు
"
79,"ఉషాదేవి
"
80,"తిరుపతి
"
81,"చైతన్య
"
82,"జయంతి రావు
"
83,"దేవీప్రసాద్
"
84,"శ్రీ శ్రీ
"
85,"ఉమారాణి
"
86,"చూష్మ
"
87,"కేశవరావు
"
88,"కృష్ణకాంత్
"
89,"గిరిధర్
"
90,"ఉమాశంకర్
"
91,"చిత్ర
"
92,"గీతాంజలి
"
93,"కుటుంబరావు
"
94,"కీరవాణి
"
95,"దుర్గారావు
"
96,"అరుంధతి
"
97,"జయలలిత
"
98,"దుర్గారావు
"
99,"గిరిధర్
"
100,"కృష్ణకాంత్
"
101,"కొండలరావు
"
102,"కృష్ణకుమారి
"
103,"దేవీప్రసాద్
"
104,"జయలలిత
"
105,"ఊహ
"
106,"గీత
"
107,"దమయంతి
"
108,"దుర్గాభవాని
"
109,"దుర్గారావు
"
110,"ఉజ్వల
"
111,"దుర్గాప్రసాద్
"
112,"జామకిరామయ్య
"
113,"కృష్ణకుమారి
"
114,"అంజలి
"
115,"దేవీప్రసాద్
"
116,"కృష్ణకాంత్
"
117,"దయానంద్
"
118,"ఉమాకాంత్
"
119,"దుర్గ
"
120,"ధనంజయ్
"
121,"కనకదుర్గ
"
122,"జామకిరామయ్య
"
123,"దైవసహాయం
"
124,"గాంధారి
"
125,"ధర్మరాజు
"
126,"కోటయ్య
"
127,"ఉజ్వల
"
128,"ధనంజయ్
"
129,"చక్రవర్తి
"
130,"దివాకర్
"
131,"కీరవాణి
"
132,"ధాత్రి
"
133,"చైతన్య
"
134,"ఆమని
"
135,"ఆంజనేయులు
"
136,"అంజన
"
137,"చక్రధారి
"
138,"గిరిధర్
"
139,"ఉమారాణి
"
140,"చూష్మ
"
141,"తిరుమలరావు
"
142,"దివ్య
"
143,"దుర్గ
"
144,"జానకి
"
145,"ఉమ
"
146,"అరుంధతి
"
147,"కిష్టప్ప
"
148,"దుర్గారావు
"
149,"దేవీప్రసాద్
"
150,"దుర్గాదేవి
"
151,"కిష్టప్ప
"
152,"చిత్ర
"
153,"కిష్టయ్య
"
