,Place
0,"কার্সিয়াং
"
1,"বিজয়বাড়া
"
2,"কোচবিহার
"
3,"দেবরিয়া
"
4,"কোহিমা
"
5,"কালিম্পং
"
6,"ইদুকী
"
7,"আসানসোল
"
8,"গঙ্গানগর
"
9,"রঙ্গারেড্ডী
"
10,"সোপোর
"
11,"কোলাপুর
"
12,"ত্রিবান্দ্রম
"
13,"সুপোল
"
14,"লেহ
"
15,"আমেদাবাদ
"
16,"রোসরা
"
17,"টুমকুর
"
18,"ঘাটমপুর
"
19,"নয়াগাঁও
"
20,"ভিন্ড
"
21,"কুর্গ
"
22,"গোয়ালিয়র
"
23,"ফিরোজপুর
"
24,"আদিলাবাদ
"
25,"পোর্ট ব্লেয়ার
"
26,"তুতিকোরিন
"
27,"বারাণসী \ বেনারস
"
28,"রত্নাগিরি
"
29,"গোপালপুর
"
30,"কনৌজ
"
31,"কোচি
"
32,"ডোডা
"
33,"সালেম
"
34,"যোধপুর
"
35,"তিরুনেলভেল্লী
"
36,"ফিরোজপুর
"
37,"অযোধ্যা
"
38,"তিনসুকিয়া
"
39,"গাজীপুর
"
40,"শিবসাগর
"
41,"নাগপুর
"
42,"জলগাঁও
"
43,"দার্জিলিং
"
44,"ভূপাল
"
45,"অমৃতসর
"
46,"মীরাঠ
"
47,"মোগোকচোয়াং
"
48,"মেহসানা
"
49,"নাসিক
"
50,"মধুবনী
"
51,"দুর্গাপুর
"
52,"মুম্বই
"
53,"গৌহাটি
"
54,"দেওঘর
"
55,"কম্পিল
"
56,"হাসান
"
57,"পিলিভিত
"
58,"ভূপাল
"
59,"অমৃতসর
"
60,"অনন্তপুর
"
61,"অনন্তনাগ
"
62,"সেনাপতি
"
63,"হমীরপুর
"
64,"আদিলাবাদ
"
65,"লক্নৌ
"
66,"যশবন্তপুর
"
67,"কোডারমা
"
68,"বিশাখাপত্তনম
"
69,"আহমদনগর
"
70,"নাগপুর
"
71,"হাপুর
"
72,"কায়মগঞ্জ
"
73,"পিলিভিত
"
74,"মাইসোর
"
75,"সীতাপুর
"
76,"সোমনাথ
"
77,"ইন্দোর
"
78,"লক্নৌ
"
79,"চম্পারণ
"
80,"যশবন্তপুর
"
81,"লাড়নু
"
82,"ইটানগর
"
83,"মথুরা
"
84,"রত্নাগিরি
"
85,"ফতুহা
"
86,"মান্ডী
"
87,"তিনসুকিয়া
"
88,"শিলচর
"
89,"লেহ
"
90,"নাগপুর
"
91,"চিপলূন
"
92,"বেরাবল
"
93,"লাড়নু
"
94,"অমরাবতী
"
95,"সীতাপুর
"
96,"হায়দ্রাবাদ
"
97,"হল্দোয়ানী
"
98,"আকোলা
"
99,"নেল্লোর
"
100,"ঔরঙ্গাবাদ
"
101,"লাদাখ
"
102,"জলপাইগুড়ি
"
103,"দেবরিয়া
"
104,"রায়পুর
"
105,"লখিমপুর
"
106,"গোয়ালিয়র
"
107,"ভূপাল
"
108,"কাভারত্তি
"
109,"বেরাবল
"
110,"হরদোই
"
111,"পিথোড়াগড়
"
112,"আকোলা
"
113,"চুড়াচাঁদপুর
"
114,"আইজল
"
115,"আগরা
"
116,"তুয়েনসাঙ
"
117,"শ্রীকাকুলাম
"
118,"দমো
"
119,"নৈনিতাল
"
120,"তিনসুকিয়া
"
121,"হায়দ্রাবাদ
"
122,"বরোদা
"
123,"গুন্টুর
"
124,"আলোয়ার
"
125,"রায়চুর
"
126,"নরওয়ার
"
127,"হরিদ্বার
"
128,"কার্সিয়াং
"
129,"মুজফ্ফরপুর
"
130,"রতলাম
"
131,"ইটারসী
"
132,"আম্বালা
"
133,"বস্তি
"
134,"আকোলা
"
135,"খগড়িয়া
"
136,"ইম্ফল
"
137,"সুন্দরগড়
"
138,"নাগপুর
"
139,"মধুবনী
"
140,"মধুবনী
"
141,"নেল্লোর
"
142,"ফতেহগড়
"
143,"খগড়িয়া
"
144,"রত্নাগিরি
"
145,"মবানা
"
146,"নাগপুর
"
147,"আগরা
"
148,"পন্ডিচেরী
"
149,"কাঞ্চী
"
150,"রায়চুর
"
151,"রামনাথপুরম
"
152,"শিলচর
"
153,"আম্বালা
"
154,"টিকমগড়
"
155,"কায়মগঞ্জ
"
156,"বিলাসপুর
"
157,"রাজামুন্দ্রি
"
158,"লুধিয়ানা
"
159,"বাঁশবাড়া
"
160,"হনুমানগড়
"
161,"দারভাঙ্গা
"
162,"কালাহান্ডী
"
163,"শিলং
"
164,"সম্বলপুর
"
165,"রীবা
"
166,"বেরাবল
"
167,"রঙ্গারেড্ডী
"
168,"কার্সিয়াং
"
169,"গুন্টুর
"
170,"নয়াগাঁও
"
171,"কাভারত্তি
"
172,"জামসেদপুর
"
173,"এটা
"
174,"শিলচর
"
175,"বারাণসী \ বেনারস
"
176,"কালিকট
"
177,"ডিব্রুগড়
"
178,"অনন্তপুর
"
179,"পন্থনগর
"
180,"তুতিকোরিন
"
181,"কোলাপুর
"
182,"দমো
"
183,"আজমীর
"
184,"ঘাটমপুর
"
185,"গোয়ালপাড়া
"
186,"ঘাটমপুর
"
187,"হাসান
"
188,"গুমলা
"
189,"ভূপাল
"
190,"বোম্বাই
"
191,"কনৌজ
"
192,"গোয়ালপাড়া
"
193,"অযোধ্যা
"
194,"রাজকোট
"
195,"কন্যাকুমারী
"
196,"হোশাঙ্গাবাদ
"
197,"টিটলাগড়
"
198,"রাজৌরী
"
199,"গোরক্ষপুর
"
200,"পোর্ট ব্লেয়ার
"
201,"নগরকোইল
"
202,"বিলাসপুর
"
203,"রত্নাগিরি
"
204,"উন্নাও
"
205,"জামতারা
"
206,"মুজফ্ফরনগর
"
207,"ফিরোজপুর
"
208,"বেতুল
"
209,"মির্জাপুর
"
210,"গাজীপুর
"
211,"লুধিয়ানা
"
212,"গাজীপুর
"
213,"হাফলাং
"
214,"আম্বালা
"
215,"পান্ডারপুর
"
216,"ঘাটশিলা
"
217,"রাজগড়
"
218,"ফতেহগড়
"
219,"হায়দ্রাবাদ
"
220,"ফরিদাবাদ
"
221,"কোচি
"
222,"পাবাপুরী
"
223,"গৌহাটি
"
224,"আনন্দ
"
225,"বেলগাঁও
"
226,"ধানবাদ
"
227,"বিলাসপুর
"
228,"চুড়াচাঁদপুর
"
229,"পান্ডারপুর
"
230,"রামগড়
"
231,"ওসমানাবাদ
"
232,"বীজাপুর
"
233,"কুর্গ
"
234,"ভাস্কো-দা-গামা
"
235,"বিলাসপুর
"
236,"কোয়েম্বাটুর
"
237,"কন্যাকুমারী
"
238,"ভোজ
"
239,"রঙ্গারেড্ডী
"
240,"টুমকুর
"
241,"লক্নৌ
"
242,"সাহেবগঙ্জ
"
243,"বিশাখাপত্তনম
"
244,"রামনাথপুরম
"
245,"ত্রিবান্দ্রম
"
246,"থানে
"
247,"নগরকোইল
"
248,"নজীবাবাদ টাটানগর
"
249,"বেরাবল
"
250,"আমেদাবাদ
"
251,"ভিন্ড
"
252,"বিকানীর
"
253,"নৈনিতাল
"
254,"প্রকাশম
"
255,"ভদ্রক
"
256,"পান্ডারপুর
"
257,"জামনগর
"
258,"রোসরা
"
259,"লুধিয়ানা
"
260,"সিমডেগা
"
261,"ভিলাই
"
262,"জব্বলপুর
"
263,"ঘাটশিলা
"
264,"আজমগড়
"
265,"গোয়ালপাড়া
"
266,"বাঁশবাড়া
"
267,"জামনগর
"
268,"পিলিভিত
"
269,"কালিম্পং
"
270,"হরিদ্বার
"
271,"খম্মম
"
272,"রামপুর
"
273,"সমস্তিপুর
"
274,"হিসার
"
275,"বিলাসপুর
"
276,"নয়ডা
"
277,"ডিব্রুগড়
"
278,"কালিম্পং
"
279,"কুলু
"
280,"কুর্গ
"
281,"আলোয়ার
"
282,"চম্পারণ
"
283,"সুন্দরগড়
"
284,"রীবা
"
285,"সাহেবগঙ্জ
"
286,"ঝাড়িয়া
"
287,"প্রয়াগ
"
288,"ধানবাদ
"
289,"হনুমানগড়
"
290,"জলপাইগুড়ি
"
291,"নেল্লোর
"
292,"চাতরা
"
293,"মাধেপুরা
"
294,"গোয়ালপাড়া
"
295,"ধর্মশালা
"
296,"ফিরোজপুর
"
297,"গিরিডি
"
298,"অবোহর
"
299,"পুরী
"
300,"এটা
"
301,"বেল্লোরী
"
302,"ঘাটশিলা
"
303,"অঙ্কলেশ্বর
"
304,"যশবন্তপুর
"
305,"মির্জাপুর
"
306,"যশপুর
"
307,"তামব্রম
"
308,"তিরুনেলভেল্লী
"
309,"কালিকট
"
310,"পোর্ট ব্লেয়ার
"
311,"ত্রিচি
"
312,"আকবরপুর
"
313,"জোয়াই
"
314,"সন্ত রবিদাস নগর
"
315,"লাড়নু
"
316,"বেগুসরাই
"
317,"রাজৌরী
"
318,"নরকটিয়াগঞ্জ
"
319,"হমীরপুর
"
320,"লক্নৌ
"
321,"নেল্লোর
"
322,"রত্নাগড়
"
323,"পালামৌ
"
324,"অনন্তনাগ
"
325,"বারমের
"
326,"চাতরা
"
327,"লখিমপুর-খিরি
"
328,"হাপুর
"
329,"কুরুক্ষেত্র
"
330,"শ্রীকাকুলাম
"
331,"হাসান
"
332,"ফৈজাবাদ
"
333,"ঝাঁসী
"
334,"ফিরোজাবাদ
"
335,"থানে
"
336,"কোচবিহার
"
337,"তিনসুকিয়া
"
338,"হাসান
"
339,"জামসেদপুর
"
340,"লাড়নু
"
341,"ফৈজালাবাদ
"
342,"রতলাম
"
343,"রঙ্গারেড্ডী
"
344,"লোহারদাগা
"
345,"তিনসুকিয়া
"
346,"রোসরা
"
347,"খগড়িয়া
"
348,"বিশাখাপত্তনম
"
349,"আজমীর
"
350,"মির্জাপুর
"
351,"অম্বিকাপুর
"
352,"হমীরপুর
"
353,"চন্ডীগড়
"
354,"পিপলি
"
355,"গিরিডি
"
356,"গিরিডি
"
357,"ঝারসুগড়া
"
358,"জয়পুর
"
359,"মোতিহারি
"
360,"ভাগলপুর
"
361,"চাইবাসা
"
362,"গোরক্ষপুর
"
363,"ভরতপুর
"
364,"অনন্তপুর
"
365,"চম্পারণ
"
366,"মবানা
"
367,"হায়দ্রাবাদ
"
368,"খুর্জা
"
369,"ইন্দোর
"
370,"দুর্গ
"
371,"জম্মু
"
372,"হোসিয়ারপুর
"
373,"হনুমানগড়
"
374,"রোপাড়
"
375,"আদিলাবাদ
"
376,"মবানা
"
377,"কটক
"
378,"সোপোর
"
379,"মথুরা
"
380,"আইজল
"
381,"কম্পিল
"
382,"ডোডা
"
383,"লুধিয়ানা
"
384,"থানে
"
385,"নগরকোইল
"
386,"বীদর
"
387,"লুধিয়ানা
"
388,"তিনসুকিয়া
"
389,"কালিম্পং
"
390,"কাভারত্তি
"
391,"জয়নগর
"
392,"মোতিহারি
"
393,"টুমকুর
"
394,"বীজাপুর
"
395,"রত্নাগড়
"
396,"কোলকাতা
"
397,"তঞ্জাভুর
"
398,"ধারোয়ার
"
399,"কাটিহার
"
400,"কোডারমা
"
401,"মুজফ্ফরপুর
"
402,"গোয়ালিয়র
"
403,"টিকমগড়
"
404,"আমেদাবাদ
"
405,"সোলান
"
406,"কেদারনাথ
"
407,"ঘাটমপুর
"
408,"সালেম
"
409,"রাজকোট
"
410,"কাটিহার
"
411,"খগড়িয়া
"
412,"কনৌজ
"
413,"পন্ডিচেরী
"
414,"গঙ্গানগর
"
415,"বরোদা
"
416,"গোয়ালপাড়া
"
417,"মেহসানা
"
418,"ফিরোজাবাদ
"
419,"ফরিদাবাদ
"
420,"জয়নগর
"
421,"সাহেবগঙ্জ
"
422,"হাম্পী
"
423,"রাঁচী
"
424,"কোলকাতা
"
425,"অনন্তনাগ
"
426,"ঘাটমপুর
"
427,"ত্রিবান্দ্রম
"
428,"মধুবনী
"
429,"হরিদ্বার
"
430,"পন্থনগর
"
431,"চিকম্যাঙ্গালোর
"
432,"রাজৌরী
"
433,"আদিলাবাদ
"
434,"শিলচর
"
435,"মবানা
"
436,"কন্যাকুমারী
"
437,"রঙ্গারেড্ডী
"
438,"চাতরা
"
439,"উডুপী
"
440,"খম্মম
"
441,"আগরা
"
442,"ভদোদরা
"
443,"নলগোন্ডা
"
444,"অনন্তপুর
"
445,"যশপুর
"
446,"দেওঘর
"
447,"কালাহান্ডী
"
448,"বরৌনী
"
449,"নগরকোইল
"
450,"রাঁচী
"
451,"হলদিয়া
"
452,"খম্মম
"
453,"গঙ্গানগর
"
454,"শিলচর
"
455,"কোচিন
"
456,"কালিকট
"
457,"রত্নাগিরি
"
458,"রায়চুর
"
459,"কাভারত্তি
"
460,"উইলিয়ামনগর
"
461,"হাম্পী
"
462,"পিঞ্জোর
"
463,"রোসরা
"
464,"গাজীপুর
"
465,"মির্জাপুর
"
466,"শ্রীকাকুলাম
"
467,"লুধিয়ানা
"
468,"বেতুল
"
469,"দেওঘর
"
470,"মবানা
"
471,"খম্মম
"
472,"টুমকুর
"
473,"কাটরা
"
474,"রঙ্গারেড্ডী
"
475,"খম্মম
"
476,"গৌড়
"
477,"ফতেহগড়
"
478,"রায়গড়
"
479,"সমস্তিপুর
"
480,"আহমদনগর
"
481,"নজীবাবাদ টাটানগর
"
482,"কুর্গ
"
483,"গুরুদাসপুর
"
484,"কালিম্পং
"
485,"গুন্টুর
"
486,"ফিরোজপুর
"
487,"পিঞ্জোর
"
488,"কাটরা
"
489,"বল্লভগড়
"
490,"কনৌজ
"
491,"রাজগড়
"
492,"ওয়ার্ধা
"
493,"কালিকট
"
494,"রায়পুর
"
495,"আকবরপুর
"
496,"লেহ
"
497,"গুমলা
"
498,"অঙ্কলেশ্বর
"
499,"ভোজ
"
500,"নাদেড়
"
501,"পুনা
"
502,"মাদুরাই
"
503,"মুসৌরি
"
504,"রায়গড়
"
505,"খম্মম
"
506,"ভিন্ড
"
507,"হাজীপুর
"
508,"দার্জিলিং
"
509,"পানাজি
"
510,"পিপলি
"
511,"ইটারসী
"
512,"ওসমানাবাদ
"
513,"বরৌনী
"
514,"সোপোর
"
515,"অমৃতসর
"
516,"নৈনিতাল
"
517,"শিলং
"
518,"আজমীর
"
519,"ফিরোজপুর
"
520,"ধর্মশালা
"
521,"গুরুদাসপুর
"
522,"বরৌনী
"
523,"গোপালপুর
"
524,"ঝুন্ঝুন
"
525,"বিলাসপুর
"
526,"ত্রিচি
"
527,"কোলকাতা
"
