,Place
0,"જેસલમેર
"
1,"પઠાનકોટ
"
2,"હઝારીબાગ
"
3,"ગુડગાંવ
"
4,"તૂતીકોરન
"
5,"બિદર
"
6,"ધંધુકા
"
7,"રાયગઢ
"
8,"રાયરંગપુર
"
9,"બોકારો
"
10,"નાંદેડ
"
11,"વિજયવાડા
"
12,"તામ્બ્રમ
"
13,"જેસલમેર
"
14,"કૂર્ગ
"
15,"રાયપુર
"
16,"શિલોંગ
"
17,"વિશાખાપટનમ
"
18,"રામપુર
"
19,"આઇજોલ
"
20,"મથુરા
"
21,"દુર્ગ
"
22,"રંગારેડ્ડી
"
23,"કોહિમા
"
24,"હલ્દ્વાની
"
25,"રાયપુર
"
26,"વરાંગલ
"
27,"બિહાર
"
28,"વર્ધા
"
29,"ધંધુકા
"
30,"અલવર
"
31,"મિરઝાપુર
"
32,"બરોની
"
33,"ધોળકા
"
34,"જશપુર
"
35,"સિલિગુરી
"
36,"સંબલપુર
"
37,"જૂનાગઢ
"
38,"કોલ્હાપુર
"
39,"તંજાવુર
"
40,"કોલકતા/કોલકાતા
"
41,"ગુડગાંવ
"
42,"આંધ્રપ્રદેશ
"
43,"ગોંડા
"
44,"ઉન્નાવ
"
45,"બિદર
"
46,"કાલાહાંડી
"
47,"જોડિયા
"
48,"ભોપાલ
"
49,"ભુવનેશ્વર
"
50,"સાવલી
"
51,"ચોપન
"
52,"અગરતલા
"
53,"અલીગઢ
"
54,"કોચી
"
55,"ધ્રોલ
"
56,"છિંદવાડા
"
57,"વર્ધા
"
58,"પોર્ટ બ્લેર
"
59,"ધંધુકા
"
60,"જયનગર
"
61,"દહેગામ
"
62,"બેગૂસરાય
"
63,"શિવસાગર
"
64,"પાવાપુરી
"
65,"સુપોલ
"
66,"ગોપાલપુર
"
67,"બેતૂલ
"
68,"હારીજ
"
69,"આઝમગઢ
"
70,"અમરાવતી
"
71,"મીરટ
"
72,"ઇરોડ
"
73,"આઝમગઢ
"
74,"વારાણસી/બનારસ
"
75,"રત્નાગઢ
"
76,"ધ્રોલ
"
77,"બિદર
"
78,"મિરઝાપુર
"
79,"દહેગામ
"
80,"ઊંઝા
"
81,"રુદ્રપ્રયાગ
"
82,"વલસાડ
"
83,"અમ્બાલા
"
84,"કાંચી
"
85,"બિદર
"
86,"તિનસુકિયા
"
87,"ગયા
"
88,"ગયા
"
89,"રાંચી
"
90,"બિલિમોરા
"
91,"અલાહાબાદ
"
92,"રાયપુર
"
93,"કલિંપોંગ
"
94,"પલામૂ
"
95,"માંડવી
"
96,"અનંતપુર
"
97,"બિલિમોરા
"
98,"સાબરકાંઠા
"
99,"પીલીભીત
"
100,"ત્રિચુર
"
101,"બિદર
"
102,"અમરેલી
"
103,"ફૈસલાબાદ
"
104,"અબોહર
"
105,"રાજમુંદરી
"
106,"કોટ્ટાયમ
"
107,"કોઇમ્બતૂર
"
108,"જોવાઈ
"
109,"પોંડિચેરી
"
110,"પઠાનકોટ
"
111,"પીલીભીત
"
112,"નાંદેડ
"
113,"રાયરંગપુર
"
114,"પ્રકાશમ
"
115,"પાલનપુર
"
116,"રામનાથપુરમ
"
117,"હોશંગાબાદ
"
118,"લોહરદગ્ગા
"
119,"ગયા
"
120,"કલકત્તા
"
121,"ચંદીગઢ
"
122,"અમૃતસર
"
123,"ઠાણે
"
124,"નેલ્લૂર
"
125,"બિકાનેર
"
126,"ગોવા
"
127,"ધનબાદ
"
128,"પંતનગર
"
129,"આગ્રા
"
130,"હાપુડ
"
131,"ઉડુપી
"
132,"બિહાર
"
133,"હાઝીપુર
"
134,"પુણે
"
135,"વલ્લભગઢ
"
136,"કોચીન
"
137,"મધુબની
"
138,"મુઝફ્ફરનગર
"
139,"ગોધરા
"
140,"ગોવા
"
141,"બિદર
"
142,"કલોલ
"
143,"કટિહાર
"
144,"મિરઝાપુર
"
145,"હલ્દિયા
"
146,"પાટણ
"
147,"શિનોર
"
148,"કલકત્તા
"
149,"ભિલાઈ
"
150,"પોરબંદર
"
151,"બાલાસોર
"
152,"વારાણસી/બનારસ
"
153,"લીમખેડા
"
154,"સાણંદ
"
155,"ઝાંસી
"
156,"ફિરોઝાબાદ
"
157,"બિદર
"
158,"ઇડર
"
159,"ચિકમંગલૂર
"
160,"કટિહાર
"
161,"ડોડા
"
162,"કોઇમ્બતૂર
"
163,"સિલિગુરી
"
164,"ઇરોડ
"
165,"સાવલી
"
166,"ઘાટમપુર
"
167,"વિરમગામ
"
168,"સાણંદ
"
169,"હાપુડ
"
170,"તિરુનેલવેલી
"
171,"સંખેડા
"
172,"પાલનપુર
"
173,"જામનગર
"
174,"જયપુર
"
175,"બિજાપુર
"
176,"ગોંડલ
"
177,"મસૂરી
"
178,"ચૂડાચાંદપુર
"
179,"કાનપુર
"
180,"લખીમપુર
"
181,"અંબિકાપુર
"
182,"અંબિકાપુર
"
183,"લુધિયાણા
"
184,"સુરેન્દ્રનગર
"
185,"અલાહાબાદ
"
186,"ઝાંસી
"
187,"હમ્પી
"
188,"જબલપુર
"
189,"બિકાનેર
"
190,"કોઇમ્બતૂર
"
191,"મોરબી
"
192,"લીમખેડા
"
193,"જોવાઈ
"
194,"અંબિકાપુર
"
195,"દહેગામ
"
196,"સંખેડા
"
197,"કાલાહાંડી
"
198,"યશવંતપુર
"
199,"ધારવાડ
"
200,"કોઇમ્બતૂર
"
201,"રાજગઢ
"
202,"ધંધુકા
"
203,"મૈસૂર
"
204,"કાલાહાંડી
"
205,"સાબરકાંઠા
"
206,"કાનપુર
"
207,"રાયપુર
"
208,"રામનાથપુરમ
"
209,"કાલાહાંડી
"
210,"અકબરપુર
"
211,"ફૈસલાબાદ
"
212,"ગુરદાસપુર
"
213,"સેનાપતિ
"
214,"સાલેમ
"
215,"જોવાઈ
"
216,"બસ્તી
"
217,"જમ્મૂ
"
218,"તામ્બ્રમ
"
219,"બેગૂસરાય
"
220,"ખેડા
"
221,"ઉસ્માનાબાદ
"
222,"દમોહ
"
223,"નેલ્લૂર
"
224,"ભિલાઈ
"
225,"રાયરંગપુર
"
226,"જેસલમેર
"
227,"પલામૂ
"
228,"બિહાર
"
229,"નૈનીતાલ
"
230,"બસ્તી
"
231,"ગુડગાંવ
"
232,"ત્રિચી
"
233,"મદુરાઈ
"
234,"અલવર
"
235,"જયનગર
"
236,"રામનાથપુરમ
"
237,"ભાગલપુર
"
238,"હરિદ્વાર
"
239,"લીંબડી
"
240,"ત્રિચી
"
241,"વિરમગામ
"
242,"રાજમુંદરી
"
243,"સોમનાથ
"
244,"ચંપારણ
"
245,"પંઢરપુર
"
246,"સતારા
"
247,"પોર્ટ બ્લેર
"
248,"ઇરોડ
"
249,"અમરેલી
"
250,"શિનોર
"
251,"નડીઆદ
"
252,"વિલાસપુર
"
253,"અલવર
"
254,"પોર્ટ બ્લેર
"
255,"બોકારો
"
256,"રંગારેડ્ડી
"
257,"સાવલી
"
258,"રાજકોટ
"
259,"બિકાનેર
"
260,"બિલાસપુર
"
261,"ચાંગલાંગ
"
262,"વાસ્કો ડી ગામા
"
263,"મધેપુરા
"
264,"આગ્રા
"
265,"ચેન્નઈ
"
266,"ખમ્મમ
"
267,"જંબુસર
"
268,"જમશેદપુર
"
269,"રામગઢ
"
270,"જેસલમેર
"
271,"મુંબઈ
"
272,"સિહોર
"
273,"બર્ધમાન
"
274,"રાપર
"
275,"પાલીતાણા
"
276,"હોશિયારપુર
"
277,"મોરબી
"
278,"અમરેલી
"
279,"ઇંદોર
"
280,"કુરુક્ષેત્ર
"
281,"વલ્લભગઢ
"
282,"બિલાસપુર
"
283,"પંઢરપુર
"
284,"હોશંગાબાદ
"
285,"ગંગાનગર
"
286,"ઉદયપુર
"
287,"જલંધર
"
288,"રાયપુર
"
289,"ઇડર
"
290,"ઉપલેટા
"
291,"જલંધર
"
292,"ઉડુપી
"
293,"પિલાની
"
294,"આણંદ
"
295,"સિલિગુરી
"
296,"બેતૂલ
"
297,"ઉપલેટા
"
298,"ભાગલપુર
"
299,"બિહાર શરીફ
"
300,"મેહસાણા
"
301,"સુંદરગઢ
"
302,"ફરીદાબાદ
"
303,"ઝરિયા
"
304,"દાહોદ
"
305,"હાફ્લાંગ
"
306,"સંબલપુર
"
307,"બરોડા
"
308,"દેવગઢબારિયા
"
309,"લુણાવાડા
"
310,"જલંધર
"
311,"ફતેહગઢ
"
312,"સુંદરગઢ
"
313,"કલકત્તા
"
314,"રાપર
"
315,"મુંબઈ
"
316,"લકનૌ
"
317,"હાપુડ
"
318,"છિંદવાડા
"
319,"ગિરીડીહ
"
320,"રાયપુર
"
321,"કૂર્ગ
"
322,"બિહાર શરીફ
"
323,"ધ્રોલ
"
324,"બુલંદશહેર
"
325,"મોકોકચુઆંગ
"
326,"હોશિયારપુર
"
327,"લુધિયાણા
"
328,"બિલિમોરા
"
329,"નૈનીતાલ
"
330,"ધારવાડ
"
331,"કન્યાકુમારી
"
332,"ત્રિચુર
"
333,"સમસ્તીપુર
"
334,"મીરટ
"
335,"પિપલી
"
336,"ડભોઇ
"
337,"સુપોલ
"
338,"હાલોલ
"
339,"ગોધરા
"
340,"ગોવા
"
341,"બર્ધમાન
"
342,"ઔરંગાબાદ
"
343,"વેરાવળ
"
344,"રાંચી
"
345,"હરિદ્વાર
"
346,"રામનાથપુરમ
"
347,"મોકોકચુઆંગ
"
348,"જમશેદપુર
"
349,"વાંકાનેર
"
350,"ચંદીગઢ
"
351,"ઇડર
"
352,"કાંચી
"
353,"પોર્ટ બ્લેર
"
354,"પાટણ
"
355,"બોકારો
"
356,"યશવંતપુર
"
357,"ખગડિયા
"
358,"સોપોર
"
359,"બરોની
"
360,"લીમખેડા
"
361,"મોકોકચુઆંગ
"
362,"ગોરખપુર
"
363,"ઉસ્માનાબાદ
"
364,"વાસ્કો ડી ગામા
"
365,"કેદારનાથ
"
366,"કરજણ
"
367,"બેલ્લારી
"
368,"કૂર્ગ
"
369,"સુંદરગઢ
"
370,"હાલોલ
"
371,"એટા
"
372,"ચોપન
"
373,"બિકાનેર
"
374,"કલકત્તા
"
375,"કડાણા
"
376,"રતલામ
"
377,"શ્રીનગર
"
378,"રાજપીપળા
"
379,"મદુરાઈ
"
380,"જોધપુર
"
381,"બસ્તી
"
382,"નૌગાંવ
"
383,"દેહરાદૂન
"
384,"અલંગ
"
385,"કોચીન
"
386,"દિલ્લી, નવી દિલ્લી
"
387,"કડાણા
"
388,"વેલ્લોર
"
389,"સિલચર
"
390,"પિપલી
"
391,"ઊટી
"
392,"પોર્ટ બ્લેર
"
393,"દેહરાદૂન
"
394,"ધોળકા
"
395,"દરભંગા
"
396,"કૂર્ગ
"
