,Place
0,"ഉതുമ
"
1,"വാമനപുരം
"
2,"ബീവന്തി
"
3,"ഹുംബി
"
4,"പുലാന്‍പൂര്‍
"
5,"ലഹോര്‍
"
6,"നേമം
"
7,"വേളാങ്കണ്ണി
"
8,"ഇരുളം
"
9,"മുസ്സൂറി
"
10,"ഗുവാട്ടി
"
11,"കാപ്പില്‍
"
12,"ലഹോര്‍
"
13,"ഗ്വാളിയര്‍
"
14,"സൂററ്റ്
"
15,"പാപ്പനംകോട്
"
16,"പൊന്‍കണ്ടം
"
17,"മേഖാലയ
"
18,"കാര്‍ത്തികപള്ളി
"
19,"മിസ്സോറാം
"
20,"ഇടത്വ
"
21,"തഞ്ചാവൂര്‍
"
22,"തൃശ്ശൂര്‍
"
23,"ഭരത്പൂര്‍
"
24,"വിജയവാഡ
"
25,"മീററ്റ്
"
26,"കന്യാകുമാരി
"
27,"രാമേശ്വരം
"
28,"പഞ്ചാബ്
"
29,"ആലപ്പുഴ
"
30,"നാസിക്
"
31,"തളിയോലപ്പറമ്പ്
"
32,"അഹമ്മദാബാദ്
"
33,"ജബല്‍പൂര്‍
"
34,"കല്ലാര്‍
"
35,"നയാഗ്ര
"
36,"പാരിപ്പള്ളി
"
37,"ചത്തീസ്ഘട്ട്
"
38,"ഡെറാഡൂണ്‍
"
39,"ഋഷികേശ്
"
40,"ചന്ദ്രപൂര്‍
"
41,"സാഞ്ചി
"
42,"മൈസൂര്‍
"
43,"പശ്ചിമബംഗാള്‍
"
44,"ഇരാറ്റുപേട്ട
"
45,"നരിമാന്‍പോയിന്‍റ്
"
46,"ഗോളിയര്‍
"
47,"തിരിച്ചിറപ്പള്ളി
"
48,"വിജയവാഡ
"
49,"മുറൈ
"
50,"കൊല്‍ക്കത്ത
"
51,"ജംഷഡ്പൂര്‍
"
52,"ജയ്പൂര്‍
"
53,"ഇരാറ്റുപേട്ട
"
54,"നളന്ദ
"
55,"വാരണാസി
"
56,"ചെന്നൈ
"
57,"മൂന്നാര്‍
"
58,"കോഴിക്കോട്
"
59,"മീററ്റ്
"
60,"ഇരാറ്റുപേട്ട
"
61,"കോവളം
"
62,"ലുധിയാന
"
63,"മലയാറ്റൂര്‍
"
64,"റാന്നി
"
65,"തിരുവനന്തപുരം
"
66,"മേഖാലയ
"
67,"വാറങ്കല്‍
"
68,"നാഗര്‍കോവില്‍
"
69,"കോവളം
"
70,"സാഞ്ചി
"
71,"തളിയോലപ്പറമ്പ്
"
72,"റാണിപുരം
"
73,"കോയമ്പത്തൂര്‍
"
74,"കല്‍പ്പറ്റ
"
75,"കോവളം
"
76,"പമ്പ
"
77,"മാണ്ഡു
"
78,"പോര്‍ട്ട്ബ്ലയര്‍
"
79,"മഹാബലേശ്വര്‍
"
80,"കൊടൈക്കനാല്‍
"
81,"ബാരക്പൂര്‍
"
82,"ഗാന്ധിനഗര്‍
"
83,"കോവളം
"
84,"ഉടുമ്പി
"
85,"വാറങ്കല്‍
"
86,"തെന്‍മല
"
87,"സിലാപൂര്‍
"
88,"പൈനാവ്
"
89,"വേളാങ്കണ്ണി
"
90,"പുലാന്‍പൂര്‍
"
91,"കാരക്കല്‍
"
92,"കോയമ്പത്തൂര്‍
"
93,"പനജി
"
94,"മധ്യപ്രദേശ്
"
95,"അഹമ്മദാബാദ്
"
96,"വെല്ലൂര്‍
"
97,"ജംഷഡ്പൂര്‍
"
98,"മലപ്പുറം
"
99,"കാഞ്ഞിരംകുളം
"
100,"ആറ്റിങ്ങല്‍
"
101,"സംബല്‍പൂര്‍
"
102,"നാസിക്
"
103,"ഹൗറ
"
104,"ഒറീസ
"
105,"സൂററ്റ്
"
106,"മൊറാദാബാദ്
"
107,"നിസാമാബാദ്
"
108,"അങ്കമാലി
"
109,"പൈനാവ്
"
110,"കാരക്കല്‍
"
111,"മല്ലപ്പള്ളി
"
112,"ചെറു
"
113,"മണിപ്പൂര്‍
"
114,"ചേലക്കര
"
115,"അജ്മീര്‍
"
116,"സഹരന്‍പൂര്‍
"
117,"നുങ്കംപക്കം
"
