,Place
0,"வாரங்கல்
"
1,"ராம்பூர்
"
2,"ஹாஜ்பூர்
"
3,"தின்சுகிய
"
4,"மீரட்
"
5,"திண்டுகல்
"
6,"பிஜ்னோர்
"
7,"குருக்சேத்ரா
"
8,"ஜம்மு
"
9,"காஞ்சி
"
10,"ராய்பூர்
"
11,"W2.75.கங்காநகர்
"
12,"அலிகார்
"
13,"லோஹார்டகா
"
14,"சென்னை
"
15,"சாஹிப்கஞ்
"
16,"அயோத்தியா
"
17,"வாரனாசி பனாரஸ்
"
18,"கோல்பரா
"
19,"காட்சிலா
"
20,"பெல்லாரி
"
21,"அவ்ரங்காபாத்
"
22,"அம்பாலா
"
23,"கூர்கு
"
24,"கரூர்
"
25,"சோம்நாத்
"
26,"ராஜ்கார்
"
27,"ராய்பூர்
"
28,"ஜபல்பூர்
"
29,"குஹாத்தி
"
30,"நைநிதால்
"
31,"பைய்சலபாத்
"
32,"கான்பூர்
"
33,"தித்லாகர்
"
34,"சார்ட்பசா
"
35,"கோகிமா
"
36,"கொச்சி
"
37,"பிலாய்
"
38,"விருதுநகர்
"
39,"சிவகங்கை
"
40,"ஹகமத்நகர்
"
41,"டிப்ருகர்
"
42,"மவனா
"
43,"பிகனேர்
"
44,"தேனி
"
45,"கங்காநகர்
"
46,"பன்ஜி
"
47,"லாக்கிம்பூர்
"
48,"ஈடாநகர்
"
49,"போபால்
"
50,"காஜிபூர்
"
51,"ரிவா
"
52,"கங்காநகர்
"
53,"புருலியா
"
54,"ஹகமத்நகர்
"
55,"லோஹார்டகா
"
56,"திருவண்ணாமலை
"
57,"பூனே
"
58,"கன்னியாகுமரி
"
59,"ஜபல்பூர்
"
60,"டோடா
"
61,"அதிலாபாத்
"
62,"சில்லாங்
"
63,"பிலிபிட்
"
64,"சம்பவத்
"
65,"நர்வர்
"
66,"சேலம்
"
67,"கொச்சின்
"
68,"சிரிக்காகூலம்
"
69,"சில்லாங்
"
70,"கொச்சின்
"
71,"குருக்சேத்ரா
"
72,"ஜோத்பூர்
"
73,"கேதார்நாத்
"
74,"தேவரியா
"
75,"தமோ
"
76,"திருநெல்வேலி
"
77,"அவ்ரங்காபாத்
"
78,"குசிரா ச்சுனார்
"
79,"ஜபல்பூர்
"
80,"கூர்கு
"
81,"வாரங்கல்
"
82,"மீர்பூர்
"
83,"அம்பிகாபுர்
"
84,"பிகின்ட்
"
85,"புவனேஷ்வர்
"
86,"பிரோஜ்பூர்
"
87,"ஈடாரசி
"
88,"உதய்ப்பூர்
"
89,"பெல்கோவ்
"
90,"ஜாம்நகர்
"
91,"கயா
"
92,"சிரிகங்கநகர்
"
93,"பத்துவா
"
94,"சிரிகங்கநகர்
"
95,"திருநெல்வேலி
"
96,"பிலாய்
"
97,"லகீம்பூர்-கிரி
"
98,"முஜாப்பர்பூர்
"
99,"பைய்சலபாத்
"
100,"சார்ட்பசா
"
101,"ராம்பூர்
"
